word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
chicken,'tʃikin,n. the flesh of a chicken used for food\nn. a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl\nn. a foolhardy competition; a dangerous activity that is continued until one competitor becomes afraid and stops\ns. easily frightened,"n. 小鸡, 鸡肉",,3,1,zk gk cet4 cet6 ky,3030,1538,s:chickens/p:chickened/d:chickened/i:chickening,,
chief,tʃi:f,s. most important element,"n. 领袖, 酋长, 长官, 主要部分\na. 主要的, 首位的",,5,1,gk cet4 ky toefl ielts,1283,1446,s:chiefs,,
chiffon,'ʃifɔn,n. a sheer fabric of silk or rayon,"n. 雪纺绸, 薄绸, 女子服装装饰品\na. 用薄绸制成的, 象薄绸般透明的, 因加入起沫蛋白而松软的",,1,,,23443,17445,,,
childhood,'tʃaildhud,n. the time of person's life when they are a child\nn. the state of a child between infancy and adolescence,n. 孩童时期\n[医] 儿童期,,3,,gk cet4 ky,2746,2107,s:childhoods,,
chill,tʃil,n. coldness due to a cold environment\nn. a sensation of cold that often marks the start of an infection and the development of a fever\nn. a sudden numbing dread\nv. depress or discourage,"n. 寒冷, 寒意, 失意\na. 寒冷的, 冷漠的\nvt. 使寒心, 冷冻\nvi. 变冷",,2,,cet4 cet6 ky toefl ielts,6652,4618,d:chilled/s:chills/p:chilled/i:chilling/3:chills,,
chime,tʃaim,n. a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument\nv. emit a sound,"n. 钟声, 钟, 和谐\nvi. 鸣, 奏出谐和的乐声, 和谐\nvt. 敲出和谐的声音, 打钟报时, 重复说",,1,,,16011,12925,p:chimed/s:chimes/i:chiming/3:chimes/d:chimed,,
chin,tʃin,n. the protruding part of the lower jaw\nv. raise oneself while hanging from one's hands until one's chin is level with the support bar,"n. 下巴, 颏\n[医] 颏",,2,1,cet4 cet6 ky ielts,4221,3947,s:chins/p:chinned/i:chinning/3:chins/d:chinned,,
China,'tʃainә,n. a communist nation that covers a vast territory in eastern Asia; the most populous country in the world\nn. high quality porcelain originally made only in China,"n. 中国, 瓷器\na. 中国的",,2,,zk gk,1973,7946,,,
Chinnifer Maniston,,"What people on the internet magazines call the overrated, self-absorbed ""actress"", Jennifer Aniston, who's chin in MASSIVE with a huge head that is too big for her body, has a broad nose, small rounded, beady eyes that have an inward curl, no cheekbones (Her face is FLAT!), and an okay-shaped body. A complete [butterface]! Other nicknames are [Jawnifer], [Jennifer Anusstain]\n> Chinnifer Maniston is too busy feeling sorry for her pampered self to consider the suffering of those with REAL problems while Brad and Angelina are helping those in need!\n",,,,,,0,0,,,
chip,tʃip,n. a triangular wooden float attached to the end of a log line\nn. a piece of dried bovine dung\nn. a thin crisp slice of potato fried in deep fat\nn. a small disk-shaped counter used to represent money when gambling,"n. 屑片, 薄片, 碎片\nvt. 削, 切, 削成碎片, 使摔倒, 凿\nvi. 削下屑片\n[计] 孔屑; 组件; 晶片; 芯片",,3,1,cet6 ky toefl ielts gre,2397,2159,s:chips/p:chipped/d:chipped/i:chipping/3:chips,,
chipper,'tʃipә,"s. having a cheerful, lively, and self-confident air","a. 爽朗的, 活泼的, 爽快的\nn. 凿子, 削者\nvt. 使高兴起来\nvi. 高兴起来, 吱吱叫, 喋喋不休",,,,,0,22244,s:chippers,,
chippers,,"plural of chipper\ns. having a cheerful, lively, and self-confident air","(chipper 的复数) a. 爽朗的, 活泼的, 爽快的\nn. 凿子, 削者\nvt. 使高兴起来\nvi. 高兴起来, 吱吱叫, 喋喋不休",,,,,0,0,0:chipper/1:s,,
chippies,,"plural of chippy\na. Abounding in, or resembling, chips; dry and tasteless.\nn. A small American sparrow (Spizella socialis), very common\n   near dwelling; -- also called chipping bird and chipping sparrow, from\n   its simple note.","(chippy 的复数) a. 枯燥无味的, 身体不舒服的, 易怒的\nn. (美)(非正式)荡妇, 妓女",,,,,0,0,0:chippy/1:s,,
chippy,'tʃipi,"a. Abounding in, or resembling, chips; dry and tasteless.\nn. A small American sparrow (Spizella socialis), very common\n   near dwelling; -- also called chipping bird and chipping sparrow, from\n   its simple note.","a. 枯燥无味的, 身体不舒服的, 易怒的\nn. (美)(非正式)荡妇, 妓女",,,,,35130,34784,s:chippies,,
chirk,tʃә:k,"v. make a shrill creaking, squeaking, or noise, as of a door, mouse, or bird","a. 快活的, 兴致好的\nv. (使)高兴",,,,,39953,0,i:chirking/p:chirked/3:chirks/d:chirked,,
chirked,,"v make a shrill creaking, squeaking, or noise, as of a door, mouse, or bird","v. 有精神, （使）高兴( chirk的过去式和过去分词 )",,,,,0,0,,,
chirking,,"v make a shrill creaking, squeaking, or noise, as of a door, mouse, or bird","v. 有精神, （使）高兴( chirk的现在分词 )",,,,,0,0,,,
chirks,,"v make a shrill creaking, squeaking, or noise, as of a door, mouse, or bird","v. 有精神, （使）高兴( chirk的第三人称单数 )",,,,,0,0,,,
chirograph,'kaiәrәugrɑ:f,"n. A writing which, requiring a counterpart, was engrossed\n   twice on the same piece of parchment, with a space between, in which\n   was written the word chirographum, through which the parchment was cut,\n   and one part given to each party. It answered to what is now called a\n   charter party.\nn. The last part of a fine of land, commonly called the\n   foot of the fine.","n. 正式签字的文件, 亲笔字据\n[法] 正式签字的文件, 教皇亲笔特许证书",,,,,0,0,,,
chloranil,klɔ:'rænl,"n. A yellow crystalline substance, C6Cl4.O2, regarded as a\n   derivative of quinone, obtained by the action of chlorine on certain\n   benzene derivatives, as aniline.","氯醌, 四氯代苯对醌, 四氯苯醌",,,,,0,0,,,
chloric,'klɒ:rik,"a. Pertaining to, or obtained from, chlorine; -- said of\n   those compounds of chlorine in which this element has a valence of\n   five, or the next to its highest; as, chloric acid, HClO3.","a. 氯的, 含氯的\n[医] 氯的",,,,,0,0,,,
chlorous,'klɒ:rәs,"a. Of, pertaining to, or derived from, chlorine; -- said of\n   those compounds of chlorine in which this element has a valence of\n   three, the next lower than in chloric compounds; as, chlorous acid,\n   HClO2.\na. Pertaining to, or resembling, the electro-negative\n   character of chlorine; hence, electro-negative; -- opposed to basylous\n   or zincous.","a. 三价氯的, 亚氯的\n[医] 亚氯的",,,,,0,0,,,
chocolate,'tʃɒkәlit,n. a food made from roasted ground cacao beans\nn. a medium brown to dark-brown color,n. 巧克力\na. 巧克力制的,,3,1,zk gk cet4 ky ielts,3142,2636,s:chocolates,,
choke,tʃәuk,"n. a coil of low resistance and high inductance used in electrical circuits to pass direct current and attenuate alternating current\nn. a valve that controls the flow of air into the carburetor of a gasoline engine\nv. breathe with great difficulty, as when experiencing a strong emotion\nv. be too tight; rub or press","vt. 窒息, 阻塞, 噎, 抑制\nvi. 窒息, 阻塞, 噎\nn. 窒息, 噎, 阻气门",,2,,gk cet4 cet6 ky toefl ielts gre,6075,5223,p:choked/i:choking/d:choked/3:chokes/s:chokes,,
cholesterol,kә'lestәrɒl,n. an animal sterol that is normally synthesized by the liver; the most abundant steroid in animal tissues,n. 胆固醇\n[化] 胆固醇; 胆固醇,,2,,,7417,3119,,,
chondro-,'kɔndrәj," A combining form meaning a grain, granular, granular\n   cartilage, cartilaginous; as, the chondrocranium, the cartilaginous\n   skull of the lower vertebrates and of embryos.","表示“软骨的, 球粒状陨石的”之义",,,,,0,0,,,
chop,tʃɒp,n. the irregular motion of waves (usually caused by wind blowing in a direction opposite to the tide)\nn. a small cut of meat including part of a rib\nn. a jaw\nn. a tennis return made with a downward motion that puts backspin on the ball,"n. 肋条肉, 排骨, 砍, 戳记, 商标\nvt. 剁碎, 砍, 切击, 割断\nvi. 砍, 突然转向",,3,1,cet4 cet6 ky toefl ielts,5669,3964,d:chopped/s:chops/i:chopping/p:chopped/3:chops,,
chopped,tʃɔpt,s. prepared by cutting,v. 砍；斩碎；大量削减（chop的过去分词）,,,,,9292,4951,0:chop/1:dp/d:chopped/p:chopped,,
Christ,kraist,n a teacher and prophet born in Bethlehem and active in Nazareth; his life and sermons form the basis for Christianity (circa 4 BC - AD 29)\nn any expected deliverer,"n. 基督, 救世主",,2,,cet6 ky,1946,0,,,
Christianity,.kristʃi'æniti,n. a monotheistic system of beliefs and practices based on the Old Testament and the teachings of Jesus as embodied in the New Testament and emphasizing the role of Jesus as savior,"n. 基督教, 基督教精神",,2,,,3886,3761,,,
chromophane,,"n. A general name for the several coloring matters, red,\n   green, yellow, etc., present in the inner segments in the cones of the\n   retina, held in solution by fats, and slowly decolorized by light;\n   distinct from the photochemical pigments of the rods of the retina.",[医] 视色质,,,,,0,0,,,
chromous,'krәumәs,"a. Of, pertaining to, or derived from, chromium, when this\n   element has a valence lower than that in chromic compounds.","a. 铬的, 含二价铬的\n[医] 亚铬的, 二价铬的, 铬的",,,,,0,0,,,
chronic,'krɒnik,a. being long-lasting and recurrent or characterized by long suffering\ns. of long duration\ns. habitual,"a. 慢性的, 习惯性的\nn. 慢性病患者",,2,,cet6 ky toefl ielts gre,4016,3654,,,
chronogram,'krɔnә^ræm,"n. An inscription in which certain numeral letters, made\n   to appear specially conspicuous, on being added together, express a\n   particular date or epoch, as in the motto of a medal struck by Gustavus\n   Adolphus in 1632: ChrIstVs DVX; ergo trIVMphVs.- the capitals of which\n   give, when added as numerals, the sum 1632.\nn. The record or inscription made by a chronograph.","n. 纪年铭, 计时器所作的记录",,,,,0,0,,,
chronological,", krɔnә'lɔdʒikәl",a. relating to or arranged according to temporal order,"a. 年代学的, 按时间顺序的, 按照年月顺序的\n[计] 编年的, 按年月日顺序的",,1,,toefl ielts,12001,13403,,,
chuck,tʃʌk,n. the part of a forequarter from the neck to the ribs and including the shoulder blade\nn. a holding device consisting of adjustable jaws that center a workpiece in a lathe or center a tool in a drill\nv. throw carelessly\nv. throw away,"n. 抚弄, 赶走, 抛掷, 咯咯声, 颈肉, 卡盘\nvt. 轻拍, 抛掷, 驱逐, 丢弃, 用卡盘夹住\nvi. 咯咯叫",,2,,,7259,8786,p:chucked/i:chucking/d:chucked/3:chucks/s:chucks,,
churl,tʃә:l,n a crude uncouth ill-bred person lacking culture or refinement\nn a selfish person who is unwilling to give or spend\nn a bad-tempered person,"n. 下层自由民, 中世纪的农民, 出身低贱的人, 乡下人, 粗暴的人, 吝啬鬼, 守财奴",,,,gre,0,0,s:churls/3:churls,,
churls,,plural of churl\nn a crude uncouth ill-bred person lacking culture or refinement\nn a selfish person who is unwilling to give or spend\nn a bad-tempered person,"(churl 的复数) n. 下层自由民, 中世纪的农民, 出身低贱的人, 乡下人, 粗暴的人, 吝啬鬼, 守财奴",,,,,0,0,0:churl/1:s3,,
CI,,"n a unit of radioactivity equal to the amount of a radioactive isotope that decays at the rate of 37,000,000,000 disintegrations per second\ns being one more than one hundred","[计] 输入, 通信接口, 计算机工业, 配置项\n[化] 化学电离",,,,,47907,0,s:cis,,
Ciceronian,",sisә'rәunjәn, -niәn",a. Resembling Cicero in style or action; eloquent.,"a. 西塞罗风格的, 雄辩的, 古典的, 有韵律的\nn. 崇拜西塞罗风格者, 精通西塞罗作品者",,,,,0,46184,,,
cigarette,.sigә'ret,n. finely ground tobacco wrapped in paper; for smoking,"n. 香烟, 纸烟",,3,1,gk cet4,2393,2111,s:cigarettes,,
cinema,'sinәmә,n. a theater where films are shown,"n. 电影院, 电影",,3,1,zk gk ielts,3322,8165,s:cinemas,,
cippus,'sɪpəs,"n. A small, low pillar, square or round, commonly having an\n   inscription, used by the ancients for various purposes, as for\n   indicating the distances of places, for a landmark, for sepulchral\n   inscriptions, etc.",n. （古罗马、希腊的）纪念碑石,,,,,0,0,,,
circulate,'sә:kjuleit,"v. cause to become widely known\nv. cause be distributed\nv. move through a space, circuit or system, returning to the starting point\nv. cause to move in a circuit or system","v. (使)流通, (使)循环, (使)传播",,2,,gk cet4 cet6 ky toefl ielts gre,4483,5888,d:circulated/i:circulating/p:circulated/3:circulates,,
circumgyration,",s\\\\:kәmdʒai'reiʃən","n. The act of turning, rolling, or whirling round.","n. 旋转, 绕转, 环行\n[医] 旋转, 圆周回转的; 眩晕",,,,,0,0,,,
circumvent,.sә:kәm'vent,"v surround so as to force to give up\nv beat through cleverness and wit\nv avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)","vt. 绕行, 陷害, 包围, 智取",,1,,toefl gre,14169,11924,d:circumvented/i:circumventing/p:circumvented/3:circumvents,,
circumvents,ˌsɜ:kəmˈvents,"v surround so as to force to give up\nv beat through cleverness and wit\nv avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)","n. 设法克服或避免（某事物）, 回避( circumvent的名词复数 ); 绕过, 绕行, 绕道旅行\nv. 设法克服或避免（某事物）, 回避( circumvent的第三人称单数 ); 绕过, 绕行, 绕道旅行",,,,,0,0,0:circumvent/1:3,,
circus,'sә:kәs,"n. a travelling company of entertainers; including trained animals\nn. a performance given by a traveling company of acrobats, clowns, and trained animals\nn. a frenetic disorganized (and often comic) disturbance suggestive of a large public entertainment\nn. (antiquity) an open-air stadium for chariot races and gladiatorial games","n. 马戏团, 马戏, 竞技场",,2,,gk cet6 ky ielts,6391,6045,s:circuses,,
cirrose,"'sirәjs,-'rәjs","a. Bearing a tendril or tendrils; as, a cirrose leaf.\na. Resembling a tendril or cirrus.","a. 有卷须的, 象卷云的, 似触毛的, 似卷须的, 有触毛的\n[医] 有触须的, 生触毛的, 有蔓的",,,,,0,0,,,
CIS,,"n an alliance made up of states that had been Soviet Socialist Republics in the Soviet Union prior to its dissolution in Dec 1991\nn a unit of radioactivity equal to the amount of a radioactive isotope that decays at the rate of 37,000,000,000 disintegrations per second","[计] 中央信息系统, 字符指令系统, 计算机信息服务, 用户信息系统",,,,,46898,0,0:ci/1:s,,
cist,sist,"n. A box or chest. Specifically: (a) A bronze receptacle, round\n   or oval, frequently decorated with engravings on the sides and cover,\n   and with feet, handles, etc., of decorative castings. (b) A cinerary\n   urn. See Illustration in Appendix.\nn. See Cyst.","n. 石棺, 墓窖, 圣器箱",,,,,0,0,s:cists,,
cists,,"plural of cist\nn. A box or chest. Specifically: (a) A bronze receptacle, round\n   or oval, frequently decorated with engravings on the sides and cover,\n   and with feet, handles, etc., of decorative castings. (b) A cinerary\n   urn. See Illustration in Appendix.\nn. See Cyst.","(cist 的复数) n. 石棺, 墓窖, 圣器箱",,,,,0,0,0:cist/1:s,,
cite,sait,"n a short note recognizing a source of information or of a quoted passage\nv make reference to\nv commend\nv refer to\nv repeat a passage from\nv refer to for illustration or proof\nv advance evidence for\nv call in an official matter, such as to attend court","vt. 引用, 引证, 表彰\n[建] 引证, 指引",,3,,cet6 ky toefl ielts gre,2993,1932,d:cited/3:cites/i:citing/p:cited,,
citied,'sitid,"a. Belonging to, or resembling, a city.\na. Containing, or covered with, cities.","a. 都市的, 似都市的, 有都市的",,,,,0,0,,,
citizen,'sitizn,n. a native or naturalized member of a state or other political community,"n. 市民, 公民\n[法] 公民, 国民, 市民",,4,1,gk cet4 cet6 ky,1924,1084,s:citizens,,
citizenship,'sitizәnʃip,n. the status of a citizen with rights and duties\nn. conduct as a citizen,"n. 国籍, 市民权, 市民的身份\n[法] 公民权, 公民资格, 公民身分",,1,,toefl,6242,4851,s:citizenships,,
city,'siti,n. a large and densely populated urban area; may include several independent administrative districts\nn. an incorporated administrative district established by state charter\nn. people living in a large densely populated municipality,"n. 城市, 市\n[法] 都市, 城市, 市",,4,1,zk gk ielts,331,290,s:cities,,
civic,'sivik,a. of or relating or belonging to a city,"a. 市的, 市民的, 公民的\n[法] 公民的, 市民的, 公民资格的",,2,,toefl ielts,5715,3970,s:civics,,
civil,'sivәl,s. applying to ordinary citizens as contrasted with the military\na. not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others\na. of or occurring within the state or between or among citizens of the state\na. of or relating to or befitting citizens as individuals,"a. 市民的, 公民的, 有礼貌的\n[法] 公民的, 国民的, 民用的",,4,1,gk cet4 cet6 ky toefl gre,1158,1050,,,
civilisation,",sivilai'zeiʃən;-li'z-","n the social process whereby societies achieve an advanced stage of development and organization\nn a particular society at a particular time and place\nn a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)\nn the quality of excellence in thought and manners and taste","n. 文明, 文明世界, 文化, 开化, 教化",,,,,7162,0,s:civilisations,,
civilization,si.vilai'zeiʃәn,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)\nn. the social process whereby societies achieve an advanced stage of development and organization","n. 文明, 教化\n[法] 文明, 文化, 文明国家的总称",,2,,gk cet4 cet6 ky toefl,6655,3459,s:civilizations,,
claim,kleim,n. an assertion of a right (as to money or property)\nn. an assertion that something is true or factual\nn. demand for something as rightful or due\nn. an informal right to something,"n. 要求, 要求权, 断言, 权利\nvt. 要求, 认领, 主张\nvi. 提出要求, 主张, 断言",,5,1,cet4 cet6 ky toefl ielts gre,533,874,p:claimed/s:claims/3:claims/d:claimed/i:claiming,,
clap,klæp,v. put quickly or forcibly\nv. cause to strike the air in flight\nv. clap one's hands together\nv. strike the air in flight,"n. 拍手, 拍手声, 霹雳声, 花柳病\nv. 鼓掌, (使)啪地关上",,1,1,zk gk cet4 cet6 ky toefl,8015,6723,p:clapped/i:clapping/d:clapped/3:claps/s:claps,,
clasper,'klɑ:spә,"n. One who, or that which, clasps, as a tendril.\nn. One of a pair of organs used by the male for grasping the\n   female among many of the Crustacea.\nn. One of a pair of male copulatory organs, developed on the\n   anterior side of the ventral fins of sharks and other elasmobranchs.\n   See Illust. of Chimaera.","n. 扣子, 抱茎卷须, 鳍脚\n[医] 抱握器, 交接突起, 鳍脚",,,,,32337,46202,s:claspers,,
claspers,,"plural of clasper\nn. One who, or that which, clasps, as a tendril.\nn. One of a pair of organs used by the male for grasping the\n   female among many of the Crustacea.\nn. One of a pair of male copulatory organs, developed on the\n   anterior side of the ventral fins of sharks and other elasmobranchs.\n   See Illust. of Chimaera.","(clasper 的复数) n. 扣子, 抱茎卷须, 鳍脚\n[医] 抱握器, 交接突起, 鳍脚",,,,,0,0,0:clasper/1:s,,
classic,'klæsik,n. a creation of the highest excellence\nn. an artist who has created classic works,"n. 古典作品, 杰作, 大艺术家\na. 第一流的, 最优秀的, 古典的",,4,1,gk cet4 cet6 ky ielts,2967,2616,s:classics,,
classification,.klæsifi'keiʃәn,n. a group of people or things arranged by class or category\nn. the basic cognitive process of arranging into classes or categories\nn. restriction imposed by the government on documents or weapons that are available only to certain authorized people,"n. 分类, 分级\n[化] 分级; 分粒; 分类",,1,,cet4 cet6 ky toefl,3753,5891,s:classifications,,
classroom,'klɑ:sru:m,n. a room in a school where lessons take place,n. 教室,,2,1,zk gk ielts,2842,1479,s:classrooms,,
clause,klɒ:z,n. (grammar) an expression including a subject and predicate but not constituting a complete sentence,"n. 子句, 条款\n[计] 子句",,2,,ky toefl ielts gre,1871,6415,s:clauses,,
claw,klɒ:,"n. sharp curved horny process on the toe of a bird or some mammals or reptiles\nn. a grasping structure on the limb of a crustacean or other arthropods\nn. a bird's foot\nv. move as if by clawing, seizing, or digging","n. 爪, 螯, 抓伤\nv. 用爪抓, 挖, 搜刮",,1,,gk cet4 cet6 ky toefl,8058,6934,s:claws/p:clawed/i:clawing/d:clawed/3:claws,,
cleading,'kli:diŋ,"n. A jacket or outer covering of wood, etc., to prevent\n   radiation of heat, as from the boiler, cylinder. etc., of a steam\n   engine.\nn. The planking or boarding of a shaft, cofferdam, etc.","n. 衬板, 覆板",,,,,0,0,,,
clean,kli:n,"v. make clean by removing dirt, filth, or unwanted substances from\nv. remove unwanted substances from, such as feathers or pits\nv. be cleanable\nv. deprive wholly of money in a gambling game, robbery, etc.","a. 干净的, 清白的, 简洁的\nadv. 清洁地, 完全地\nvt. 清理, 使干净, 出空\nvi. 被搞干净\nn. 打扫",,4,1,zk gk toefl ielts,1780,1514,i:cleaning/d:cleaned/r:cleaner/p:cleaned/3:cleans/t:cleanest,,
clean-up,,,"[计] 提纯, 净化, 调整\n[经] 清洁, 赚钱, 获利",,2,,,0,0,s:clean-ups,,
cleaned,kli:nd,"v make clean by removing dirt, filth, or unwanted substances from\nv remove unwanted substances from, such as feathers or pits\nv clean and tidy up the house\nv clean one's body or parts thereof, as by washing\nv be cleanable\nv deprive wholly of money in a gambling game, robbery, etc.\nv remove all contents or possession from, or empty completely\nv remove while making clean\nv remove unwanted substances from\nv remove shells or husks from",v. （使）清洁( clean的过去式和过去分词 ); 变干净; 除去…的灰尘; 使…干净,,,,,43357,34719,0:clean/1:dp/d:cleaned,,
cleaning,'kli:niŋ,n. the act of making something clean,"n. 清洁, 扫除, 家畜的胞衣, 扫除出来的垃圾, 大败, 输得精光, 除伐, 巨额利润\n[计] 清洗, 清除",,,,ielts,4981,6102,0:clean/1:i/i:cleaning/s:cleanings,,
cleanings,,plural of cleaning\nn. the act of making something clean,"(cleaning 的复数) n. 清洁, 扫除, 家畜的胞衣, 扫除出来的垃圾, 大败, 输得精光, 除伐, 巨额利润\n[计] 清洗, 清除",,,,,0,0,0:cleaning/1:s,,
cleans,,"n a weightlift in which the barbell is lifted to shoulder height and then jerked overhead\nv make clean by removing dirt, filth, or unwanted substances from\nv remove unwanted substances from, such as feathers or pits\nv clean and tidy up the house\nv clean one's body or parts thereof, as by washing\nv be cleanable\nv deprive wholly of money in a gambling game, robbery, etc.\nv remove all contents or possession from, or empty completely\nv remove while making clean\nv remove unwanted substances from\nv remove shells or husks from",n. 打扫；精煤（clean的复数）,,,,,0,0,0:clean/1:3,,
cleanse,klenz,"v. clean one's body or parts thereof, as by washing\nv. purge of an ideology, bad thoughts, or sins","vt. 使清洁, 净化, 使纯净\n[建] 纯化, 净化, 精炼",,2,,toefl,11568,10540,d:cleansed/i:cleansing/3:cleanses/p:cleansed,,
clear,kliә,n. the state of being free of suspicion\nv. make a way or path by removing objects\nv. remove\nv. be debited and credited to the proper bank accounts,"a. 清楚的, 明确的, 澄清的\nadv. 清晰地\nvt. 澄清, 清除障碍\nvi. 放晴, 变清澈\nn. 空隙\n[计] 清除",,5,1,zk gk ielts,390,563,d:cleared/r:clearer/p:cleared/i:clearing/t:clearest/3:clears,,
clear-cut,,v. remove all the trees at one time\ns. clearly or sharply defined to the mind\ns. having had all the trees removed at one time,"a. 轮廓清晰的, 明确的, 清楚的\n[法] 清晰的, 明确的, 轮廓清楚的",,1,,,0,0,i:clear-cutting/p:clear-cut/3:clear-cuts/d:clear-cut,,
clearing,'kliәriŋ,n. a tract of land with few or no trees in the middle of a wooded area\nn. the act of freeing from suspicion\nn. the act of removing solid particles from a liquid,"n. 清扫, 空地, 票据清算\n[经] 票据交换, 结算, 结帐",,2,,cet6,6924,8009,0:clear/1:i/i:clearing/s:clearings,,
clearings,,"n a tract of land with few or no trees in the middle of a wooded area\nn the act of freeing from suspicion\nn the act of removing solid particles from a liquid\nv rid of obstructions\nv make a way or path by removing objects\nv become clear\nv grant authorization or clearance for\nv remove\nv go unchallenged; be approved\nv be debited and credited to the proper bank accounts\nv go away or disappear\nv pass by, over, or under without making contact\nv make free from confusion or ambiguity; make clear\nv free from payment of customs duties, as of a shipment\nv clear from impurities, blemishes, pollution, etc.\nv yield as a net profit\nv make as a net profit\nv earn on some commercial or business transaction; earn as salary or wages\nv sell\nv pass an inspection or receive authorization\nv pronounce not guilty of criminal charges\nv settle, as of a debt\nv make clear, bright, light, or translucent\nv rid of instructions or data\nv remove (people) from a building\nv remove the occupants of\nv free (the throat) by making a rasping sound",n. 清算；汇划结算的款项总额；票据交换结算总额（clearing的复数形式）,,,,,0,0,0:clearing/1:s,,
clearly,'kliәli,r. without doubt or question\nr. in an easily perceptible manner,adv. 清楚地,,,1,gk cet4,650,846,,,
clears,kliəz,"n the state of being free of suspicion\nn a clear or unobstructed space or expanse of land or water\nv rid of obstructions\nv make a way or path by removing objects\nv become clear\nv grant authorization or clearance for\nv remove\nv go unchallenged; be approved\nv be debited and credited to the proper bank accounts\nv go away or disappear\nv pass by, over, or under without making contact\nv make free from confusion or ambiguity; make clear\nv free from payment of customs duties, as of a shipment\nv clear from impurities, blemishes, pollution, etc.\nv yield as a net profit\nv make as a net profit\nv earn on some commercial or business transaction; earn as salary or wages\nv sell\nv pass an inspection or receive authorization\nv pronounce not guilty of criminal charges\nv settle, as of a debt\nv make clear, bright, light, or translucent\nv rid of instructions or data\nv remove (people) from a building\nv remove the occupants of\nv free (the throat) by making a rasping sound",v. 变明朗( clear的第三人称单数 ); 明白; 离去; （通过票据交换所）交换票据,,,,,0,0,0:clear/1:3,,
clench,klentʃ,v. hold in a tight grasp\nv. squeeze together tightly,"n. 牢牢抓住, 钉紧, 敲弯钉尖\nvt. 紧握, 牢牢地抓住, 确定, 敲弯\nvi. 握紧, 钉牢",,1,,gre,8294,8816,p:clenched/i:clenching/d:clenched/3:clenches/s:clenches,,
clerk,klә:k,"n. an employee who performs clerical work (e.g., keeps records or accounts)\nv. work as a clerk, as in the legal business","n. 办事员, 职员, 文书\nvi. 当店员",,2,1,gk cet4 ky toefl,2959,3877,s:clerks/i:clerking/p:clerked/3:clerks/d:clerked,,
clever,'klevә,s. showing inventiveness and skill,"a. 聪明的, 精明的",,3,1,zk gk cet4 ky ielts,3025,4978,r:cleverer/t:cleverest,,
client,'klaiәnt,n. a person who seeks the advice of a lawyer,"n. 客户, 顾客, 委托人\n[计] 客户, 客户机, 客户机程序",,3,1,cet6 ky ielts,907,1157,s:clients,,
cliff,klif,n. a steep high face of rock,"n. 悬崖, 绝壁",,2,,cet4 cet6 ky toefl ielts,3551,4312,s:cliffs,,
climacteric,klai'mæktәrik,n. a period in a man's life corresponding to menopause,"n. 更年期, 绝经, 断经, 断经期, 危机, 转折点, 危机期\na. 更年期的, 危机的, 关键的",,,,,0,0,,,
climb,klaim,"n. an event that involves rising to a higher point (as in altitude or temperature or intensity etc.)\nn. the act of climbing something\nv. go upward with gradual or continuous progress\nv. move with difficulty, by grasping","v. 攀登, 上升, 爬\nn. 攀登, 爬升",,3,1,zk gk cet4 cet6 ky,1646,1566,p:climbed/i:climbing/d:climbed/3:climbs/s:climbs,,
clinic,'klinik,n. a medical establishment run by a group of medical specialists\nn. meeting for diagnosis of problems and instruction or remedial work in a particular activity\nn. a healthcare facility for outpatient care,"n. 诊所, 临床教学\n[医] 诊所(门诊部); 临床(讲解); 临床(学)科",,3,,gk cet6 ky toefl ielts,3298,2388,s:clinics,,
clip,klip,n. any of various small fasteners used to hold loose articles together\nn. an article of jewelry that can be clipped onto a hat or dress\nn. the act of clipping or snipping\nn. a sharp slanting blow,"n. 修剪, 夹子, 回形针, 剪下来的东西\nvt. 修剪, 痛打, 夹牢, 剪报\nvi. 剪报",,2,,cet6 ky toefl ielts gre,6959,4208,s:clips/d:clipped/p:clipped/i:clipping/3:clips,,
clipping,'klipiŋ,n. an excerpt cut from a newspaper or magazine,"n. 剪断, 剪裁, 剪下物, 剪报\na. 第一流的, 头等的, 极好的, 快速的\n[计] 剪取; 削波",,1,,,19257,10035,0:clip/1:i/s:clippings/i:clipping,,
cloaca,klәu'eikә,"n. (zoology) the cavity (in birds, reptiles, amphibians, most fish, and monotremes but not mammals) at the end of the digestive tract into which the intestinal, genital, and urinary tracts open","n. 泄殖腔, 阴沟\n[医] 泄殖腔, 一穴肛; 骨瘘",,,,,0,45064,s:cloacas,,
cloacae,,"n (zoology) the cavity (in birds, reptiles, amphibians, most fish, and monotremes but not mammals) at the end of the digestive tract into which the intestinal, genital, and urinary tracts open\nn a waste pipe that carries away sewage or surface water","n. 阴沟, 厕所, 下水道, 泄殖腔",,,,,0,0,,,
